gapRank,queuePriorityRank,candidateRank,promotionReadiness,claimBoundary,profileKey,court,targetFamily,coverageStatus,sourceFile,label,status,sourceUrlStatus,directAnalogue,denominator,topCandidate,recommendedVerification
1,1,1,model-calibration-needed,validation-counted source-range miss,cjeu-2024,Court of Justice of the European Union,compliance,validation-counted,config/research/comparative-calibration-source-candidates.csv,Full compliance with rule-of-law rulings,promoted,verified:https://www.einnetwork.org/justice-delayed-justice-denied,true,382,true,audit construction note and simulator target exposure before promotion
2,2,1,model-calibration-needed,validation-counted source-range miss,france-conseil-qpc,French Constitutional Council,merits,validation-counted,config/research/comparative-calibration-source-candidates.csv,QPC nonconformity rate,promoted,verified:https://qpc360.conseil-constitutionnel.fr/bilan-statistique,true,1011,true,audit construction note and simulator target exposure before promotion
3,3,1,model-metric-gap,verified source measure lacks a matching simulator output unit,germany-bverfg-2024,German Federal Constitutional Court,emergency,missing,config/research/comparative-calibration-source-candidates.csv,New complaints accompanied by interim applications,verified-model-gap,verified:https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=2,false,4436,true,design a statute-disposition nullification output; do not compare this row with all-merits invalidation
19,19,1,candidate-triage-needed,candidate not yet promotable,germany-bverfg-2024,German Federal Constitutional Court,legislative-response,missing,config/research/legislative-response-source-candidates.csv,Legislative response to unconstitutional-without-nullity decisions,qualitative,not-available-in-report,false,,true,verify source only if the metric can be recoded to a direct simulator analogue
20,20,1,candidate-triage-needed,candidate not yet promotable,south-africa-constcourt-recent,Constitutional Court of South Africa,legislative-response,missing,config/research/legislative-response-source-candidates.csv,Legislative response to suspended declarations of invalidity,qualitative,not-available-in-report,false,,true,verify source only if the metric can be recoded to a direct simulator analogue
43,43,1,context-only-blocked,verified context but not validation evidence,canada-scc-2024,Supreme Court of Canada,case-selection,missing,config/research/comparative-calibration-source-candidates.csv,Post-leave hearing time,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,false,,true,retain as context unless recoded to a direct simulator analogue
43,43,2,context-only-blocked,verified context but not validation evidence,canada-scc-2024,Supreme Court of Canada,case-selection,missing,config/research/comparative-calibration-source-candidates.csv,Leave decision time,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,false,,false,retain as context unless recoded to a direct simulator analogue
44,44,1,context-only-blocked,verified context but not validation evidence,south-africa-constcourt-recent,Constitutional Court of South Africa,route-mix,missing,config/research/comparative-calibration-source-candidates.csv,Petitions seeking leave to appeal,verified-context-only,verified:https://www.scielo.org.za/scielo.php?pid=S1727-37812024000100077&script=sci_arttext,false,217,true,retain as context unless recoded to a direct simulator analogue
44,44,2,context-only-blocked,verified context but not validation evidence,south-africa-constcourt-recent,Constitutional Court of South Africa,route-mix,missing,config/research/comparative-calibration-source-candidates.csv,Petitions seeking direct access,verified-context-only,verified:https://www.scielo.org.za/scielo.php?pid=S1727-37812024000100077&script=sci_arttext,false,217,false,retain as context unless recoded to a direct simulator analogue
45,45,1,context-only-blocked,verified context but not validation evidence,canada-scc-2024,Supreme Court of Canada,emergency,missing,config/research/comparative-calibration-source-candidates.csv,Merits nonunanimity rate,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,false,50,true,retain as context unless recoded to a direct simulator analogue
46,46,1,context-only-blocked,verified context but not validation evidence,canada-scc-recent,Supreme Court of Canada,merits,missing,config/research/comparative-calibration-source-candidates.csv,Section 7 Charter claimant success context,verified-context-only,verified:https://macdonaldlaurier.ca/unprincipled-the-supreme-courts-expansion-of-fundamental-justice-under-section-7-of-the-charter-dave-snow/,false,176,true,retain as context unless recoded to a direct simulator analogue
47,47,1,context-only-blocked,verified context but not validation evidence,germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,config/research/comparative-calibration-source-candidates.csv,New complaints with legal representation,verified-context-only,verified:https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=2,false,4436,true,retain as context unless recoded to a direct simulator analogue
48,48,1,context-only-blocked,verified context but not validation evidence,germany-bverfg-2024,German Federal Constitutional Court,route-mix,missing,config/research/comparative-calibration-source-candidates.csv,Direct challenges to laws and ordinances,verified-context-only,verified:https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=2,false,4436,true,retain as context unless recoded to a direct simulator analogue
49,49,1,context-only-blocked,verified context but not validation evidence,south-africa-constcourt-recent,Constitutional Court of South Africa,case-selection,missing,config/research/comparative-calibration-source-candidates.csv,Dismissed petitions with observable reasons,verified-context-only,verified:https://www.scielo.org.za/scielo.php?pid=S1727-37812024000100077&script=sci_arttext,false,57,true,retain as context unless recoded to a direct simulator analogue
