priorityRank,actionType,profileKey,court,targetFamily,coverageStatus,outOfRangeRows,largestGap,largestGapTarget,candidateRows,verifiedCandidateRows,pendingVerificationRows,directAnalogueCandidateRows,roadmapRows,topCandidateFile,topCandidateLabel,topCandidateStatus,topCandidateSourceStatus,promotionReadiness,claimBoundary,blockingReason,recommendedAction
1,candidate-verification,canada-charter-dialogue-1982-2007,Supreme Court of Canada,merits,missing,0,0.000,,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Statute nullification rate among federal and provincial statute dispositions,verified-model-gap,verified:https://digitalcommons.osgoode.yorku.ca/ohlj/vol30/iss1/1/,model-metric-gap,verified source measure lacks a matching simulator output unit,source evidence is reproducible but cannot be compared to the current all-merits simulator metric without mixing units,add the missing simulator output and preserve the source unit before reconsidering validation promotion
2,source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,merits,stress-only,0,0.000,,0,0,0,0,0,,,,,needs-source-documentation,stress-only row needs promotion evidence,"stress-only coverage lacks the full promotion package: source URL, denominator, coding rule, and direct analogue","verify denominator, source URL, coding rule, and direct analogue before promoting stress-only rows"
3,source-promotion,canada-scc-recent,Supreme Court of Canada,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
4,source-promotion,canada-scc-recent,Supreme Court of Canada,political-context,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
5,source-promotion,cost-france-conseil,French Constitutional Council,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
6,source-promotion,cost-uk-supreme-court,UK Supreme Court,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
7,source-promotion,cost-us-supreme-court,U.S. Supreme Court,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
8,source-promotion,france-conseil-qpc,French Constitutional Council,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
9,source-promotion,france-conseil-qpc,French Constitutional Council,political-context,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
10,source-promotion,gallup-court-confidence-2024,U.S. Supreme Court,political-context,stress-only,0,0.000,,0,0,0,0,1,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
11,source-promotion,germany-bverfg-2024,German Federal Constitutional Court,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
12,source-promotion,germany-bverfg-2024,German Federal Constitutional Court,political-context,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
13,source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,cost,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
