targetFile,profileKey,court,timePeriod,targetKey,label,lowerBound,upperBound,observedValue,n,unit,method,reliability,useForValidation,note,sourceName,sourceUrl,constructionNote
canada-scc-recent.csv,canada-scc-recent,Supreme Court of Canada,recent annual average,intake_acceptance_rate,Leave application grant rate,0.0697,0.0844,0.0767,5070,share,leave applications submitted and granted,high,true,Leave-to-appeal grant rate is the top-court intake proxy for the completed 2015-2024 statistical window.,Supreme Court of Canada statistical summary 2015 to 2024,https://www.scc-csc.ca/about-apropos/work-travail/review-retro/stat-2024/,Observed value is 389 granted leave applications divided by 5070 submitted applications across the official 2015-2024 statistical summary; promoted as a multi-year SCC intake benchmark alongside the 2024 annual leave-grant row.
canada-scc-recent.csv,canada-scc-recent,Supreme Court of Canada,recent annual average,public_trust,Public trust proxy,0.430,0.550,0.490,0,share,public-trust survey proxy,medium,false,Public trust row is contextual and not a direct case-outcome validation.,Comparative calibration research synthesis,,Contextual public-opinion proxy; retained for interpretation of legitimacy assumptions but excluded from validation counts because it is not a case-output analogue.
canada-scc-recent.csv,canada-scc-recent,Supreme Court of Canada,recent annual average,direct_court_cost,Normalized direct court cost,0.490,0.610,0.550,9,normalized,benchmark cost profile,medium,false,Cost target uses total and core spending plus staff scale.,Institutional cost benchmark synthesis,,Normalized institutional-cost benchmark on the simulator 0-1 scale; retained for stress testing but excluded from validation counts until source denominators and normalization workbook are archived.
canada-scc-2024.csv,canada-scc-2024,Supreme Court of Canada,2024,intake_acceptance_rate,Leave application grant rate,0.060,0.075,0.0665,526,share,official annual leave applications and grants,high,true,The 2024 Year in Review reports 526 applications filed and 35 applications granted; this is a top-court leave-to-appeal intake proxy.,Supreme Court of Canada Year in Review 2024,https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,Observed value is 35 leave applications granted divided by 526 applications filed in the official annual report; use as an intake-access diagnostic only.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,invalidation_legislative_response_rate,Legislative response after Charter invalidation,0.692,0.881,0.8030,66,share,Wilson 95 percent interval from Hogg and Bushell Charter invalidation response coding,medium,true,Hogg and Bushell report 66 Charter invalidation cases and all but 13 receiving a legislative response.,Hogg and Bushell Charter dialogue study condensed in Canada Watch,https://robarts.info.yorku.ca/files/2012/03/cw_8_1-3.pdf,Observed value is 53 legislative responses divided by 66 Supreme Court of Canada Charter invalidation cases; target uses the new merits-invalidation-conditioned response diagnostic rather than all simulated cases.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,override_rate,Formal override after Charter invalidation,0.003,0.081,0.0152,66,share,Wilson 95 percent interval from Hogg and Bushell override coding,medium,true,The JUSTICE report quotes the Hogg and Bushell study as finding one section 33 override among 66 invalidation cases.,JUSTICE British Bill of Rights report quoting Hogg and Bushell,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf,Observed value is one section 33 override divided by 66 Supreme Court of Canada Charter invalidation cases; the simulator override_rate already uses an invalidation denominator.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,invalidation_legislative_reenactment_rate,Effective overruling or reenactment after Charter invalidation,0.008,0.104,0.0303,66,share,Wilson 95 percent interval from Hogg and Bushell effective-overruling coding,medium,true,The JUSTICE report quotes the Hogg and Bushell study as finding two effective overruling cases among 66 invalidation cases.,JUSTICE British Bill of Rights report quoting Hogg and Bushell,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf,Observed value is two effective overruling or reenactment cases divided by 66 Supreme Court of Canada Charter invalidation cases; target uses an invalidation-conditioned reenactment diagnostic.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,invalidation_legislative_response_rate,Legislative response after Charter invalidation update period,0.408,0.778,0.6087,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,Hogg Bushell Thornton and Wright update data reported 14 responses among 23 Charter invalidation cases.,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf,Observed value is 14 legislative responses divided by 23 Supreme Court of Canada Charter invalidation cases in the update period; target uses the new merits-invalidation-conditioned response diagnostic.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,override_rate,Formal override after Charter invalidation update period,0.000,0.143,0.0000,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,The update-period data reported no formal override cases among 23 Charter invalidation cases.,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf,Observed value is zero formal overrides divided by 23 Supreme Court of Canada Charter invalidation cases in the update period.
canada-charter-dialogue-1982-2007.csv,canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,invalidation_legislative_reenactment_rate,Reenactment after Charter invalidation update period,0.000,0.143,0.0000,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,The update-period data reported no legislative sequels amounting to overruling among 23 Charter invalidation cases.,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf,Observed value is zero reenactment or effective-overruling cases divided by 23 Supreme Court of Canada Charter invalidation cases in the update period.
france-conseil-qpc.csv,france-conseil-qpc,French Constitutional Council,2010-2024 QPC,merits_invalidation_rate,QPC nonconformity rate,0.305,0.324,0.3145,1011,share,official QPC solution table,high,true,Official QPC360 solution table reports nonconformity outcomes for QPC decisions through 31 December 2024.,Conseil constitutionnel QPC360 statistical overview,https://qpc360.conseil-constitutionnel.fr/bilan-statistique,Observed value is 318 decisions with total partial or date-to-date nonconformity divided by 1011 QPC solution rows through 31 December 2024; use as QPC invalidation diagnostic.
france-conseil-qpc.csv,france-conseil-qpc,French Constitutional Council,2010-2024 QPC,suspended_declaration_rate,QPC deferred-effect share over all solutions,0.126,0.141,0.1335,1011,share,official QPC solution table,high,true,Official QPC360 solution categories separate immediate and deferred-effect nonconformity outcomes.,Conseil constitutionnel QPC360 statistical overview,https://qpc360.conseil-constitutionnel.fr/bilan-statistique,Observed value is 135 deferred-effect nonconformity decisions divided by 1011 QPC solution rows through 31 December 2024; use as all-QPC suspended-remedy diagnostic.
france-conseil-qpc.csv,france-conseil-qpc,French Constitutional Council,QPC recent period,public_trust,Public trust proxy,0.430,0.570,0.500,0,share,public-trust survey proxy,low,false,Judicial-system trust proxy included for context; not direct validation of the council.,Comparative calibration research synthesis,,Contextual public-opinion proxy; retained for interpretation of legitimacy assumptions but excluded from validation counts because it is not a case-output analogue.
france-conseil-qpc.csv,france-conseil-qpc,French Constitutional Council,QPC recent period,direct_court_cost,Normalized direct court cost,0.280,0.400,0.340,9,normalized,benchmark cost profile,medium,false,Lower direct cost reflects a small institution with externally filtered referrals.,Institutional cost benchmark synthesis,,Normalized institutional-cost benchmark on the simulator 0-1 scale; retained for stress testing but excluded from validation counts until source denominators and normalization workbook are archived.
france-conseil-qpc.csv,france-conseil-qpc,French Constitutional Council,QPC recent period,upstream_screening_cost,Normalized upstream screening cost,0.520,0.660,0.590,0,normalized,benchmark cost profile,medium,false,Referral filtering shifts a meaningful share of workload into upstream courts and political actors.,Institutional cost benchmark synthesis,,Normalized institutional-cost benchmark on the simulator 0-1 scale; retained for stress testing but excluded from validation counts until source denominators and normalization workbook are archived.
germany-bverfg-2024.csv,germany-bverfg-2024,German Federal Constitutional Court,2024,intake_acceptance_rate,Constitutional complaint success and admission proxy,0.0062,0.0116,0.0085,4595,share,successful constitutional complaints divided by decided complaint proceedings,high,true,Direct constitutional complaints dominate filings; the success rate is a narrow top-court acceptance proxy rather than a full docket access measure.,Federal Constitutional Court 2024 annual report,https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=4,Observed value is 39 successful constitutional complaints divided by 4595 constitutional complaint proceedings decided or jointly decided in the official 2024 annual report; promoted as a narrow complaint-screening benchmark for the German constitutional-court profile.
germany-bverfg-2024.csv,germany-bverfg-2024,German Federal Constitutional Court,2024,public_trust,Public trust proxy,0.680,0.800,0.740,0,share,public-trust survey proxy,medium,false,Trust value is a judicial-system or court-confidence proxy rather than a direct performance validation.,Comparative calibration research synthesis,,Contextual public-opinion proxy; retained for interpretation of legitimacy assumptions but excluded from validation counts because it is not a case-output analogue.
