indicator,simulatorField,operationalMeasure,sourceFamilies,timeCoverage,recommendedRawRange,modelUse,evidenceStatus,notes
Legal-system compatibility,legalTraditionCompatibility,Similarity between source and target legal tradition plus experience with constitutional or abstract review,JuriGlobe; V-Dem v2jureview; Comparative Constitutions Project; CODICES,current or constitutional-period,0-0.25 strong mismatch; 0.25-0.50 partial; 0.50-0.75 moderate; 0.75-1.00 strong,sensitivity-input,source-family-identified,Use as adaptation-cost prior rather than as a deterministic legal-family claim.
Constitutional-review familiarity,legalTraditionCompatibility,Years since adoption of constitutional review or specialized constitutional-court practice,Comparative Constitutions Project; CODICES; national constitutional histories,constitution-specific,0-5 novice; 5-15 early; 15-30 established; over 30 entrenched,empirical-calibration-candidate,source-family-identified,May also adjust political-culture sensitivity and implementation lag.
Party-system fragmentation,partyFragmentation,Effective number of parliamentary parties or comparable legislative fragmentation,PPEG; DPI; ParlGov; national election datasets,election-year or legislature-year,under 2 concentrated; 2-4 moderate; 4-6 fragmented; over 6 highly fragmented,empirical-calibration-candidate,source-family-identified,Higher fragmentation can either increase pluralism or reduce response capacity; keep direction mechanism-specific.
Governing coalition control,governmentControl,Government seat share divided by constitutional amendment or override threshold,PPEG; DPI; ParlGov; national parliamentary records,legislature-year,under 0.80 blocked; 0.80-1.00 near threshold; 1.00-1.10 narrow control; over 1.10 dominant,empirical-calibration-candidate,source-family-identified,Separate control that enables compliance from control that enables capture or retaliation.
Electoral time pressure,electoralTimePressure,Months until next scheduled national election or expected election window,ParlGov; national electoral calendars; election authority records,case or legislature-year,over 24 low; 12-24 moderate; 6-12 high; under 6 acute,empirical-calibration-candidate,source-family-identified,Use to modulate response credibility and short-run court-curbing incentives.
Political polarization,partisanPressure,Party-system polarization or political-camp antagonism,V-Dem v2cacamps; reversed V-Dem v2smpolsoc; CHES; manifesto-based measures,yearly or election-year,standardized 0-1 after source-specific rescaling,sensitivity-input,source-family-identified,High endogeneity risk; use in sensitivity sweeps before treating as calibration.
Civil-society capacity,civilSocietyCapacity,Participation and autonomous-rights-advocacy capacity,V-Dem v2x_cspart; V-Dem v2csprtcpt; V-Dem v2cseeorgs; CIVICUS; CSOSI,yearly,under 0.30 weak; 0.30-0.60 medium; over 0.60 strong,empirical-calibration-candidate,source-family-identified,Feeds litigant capacity and public-interest support rather than merely legitimacy.
Public trust,publicTrust,Survey share expressing trust or confidence in courts or justice system,WVS; OECD Trust Survey; Eurobarometer; EU Justice Scoreboard,survey wave,under 0.35 low; 0.35-0.55 medium; over 0.55 high,sensitivity-input,source-family-identified,Survey comparability is weak; keep context-specific and do not validate case outcomes with trust rows.
Court independence and compliance,courtIndependence,High-court independence and observed judicial compliance,V-Dem v2juhcind; V-Dem v2juhccomp; V-Dem v2exrescon; World Justice Project,yearly,under 0.35 weak; 0.35-0.65 mixed; over 0.65 strong,sensitivity-input,source-family-identified,Useful for compliance conditions but causally entangled with regime quality.
Court throughput capacity,implementationCapacity,Disposition time or clearance rate for relevant courts,CEPEJ; EU Justice Scoreboard; national court annual reports,annual,under 200 days strong; 200-400 mixed; over 400 weak,empirical-calibration-candidate,source-family-identified,Convert to simulator delay/capacity scale before use.
Administrative implementation capacity,implementationCapacity,Government effectiveness and rights-respecting implementation environment,World Bank WGI Government Effectiveness; V-Dem v2clrspct; comparative constitutional compliance datasets,annual,WGI under -0.5 weak; -0.5 to 0.5 moderate; over 0.5 strong,empirical-calibration-candidate,source-family-identified,Keep separate from formal institutional design and court independence.
Transplant feasibility composite,legalTransplantFeasibility,Weighted combination of compatibility capacity trust civil society and inverse partisan pressure,Derived from the indicators above,scenario-year,weights: legal tradition 0.20; court independence/compliance 0.20; implementation capacity 0.20; civil society 0.15; trust 0.15; partisan-pressure penalty 0.10,synthetic-diagnostic,derived-from-source-families,Use as a transparent sensitivity construct until each component has a verified source series.
