mechanism,targetKey,unit,preferredSystems,neededDenominator,notes
weak-form-review,legislative_response_after_declaration,share,United Kingdom; New Zealand,total declarations of incompatibility or equivalent,"Code whether Parliament amended law, accepted court interpretation, rejected response, or did nothing."
suspended-declaration-review,response_before_suspension_expires,share,Canada; South Africa; Germany,total suspended invalidity declarations,"Record deadline length, extension requests, and whether new legislation cured the defect."
legislative-override-clause,override_invocation_rate,share,Canada federal and provincial systems; notwithstanding clause datasets,total eligible Charter invalidity or rights-conflict events,Separate formal override use from ordinary legislative reenactment.
mandatory-legislative-response,response_cycle_completion_rate,share,systems with statutory reporting or parliamentary response duties,total court-triggered response obligations,Measure response completion and substantive cure separately.
rights-impact-statement-review,front_end_rights_statement_accuracy,share,Australia ACT/Victoria; New Zealand; United Kingdom,total bills with rights statements,Compare ex ante rights-risk flags with later litigation or remedial action.
pre-enactment-review,pre_enactment_defect_detection_rate,share,France; Germany; abstract-review systems,total pre-enactment referrals,"Distinguish blocked provisions, reservations of interpretation, and no-defect decisions."
abstract-review,abstract_review_trigger_rate,share,Germany; France; Italy; Spain; constitutional courts,total review matters or enacted laws,Identify who triggers review and whether minority opposition access is available.
ombudsman-triggered-review,ombudsman_review_success_rate,share,systems with ombudsman or rights-commission referral powers,total ombudsman constitutional referrals,Track access gains for low-resource litigants.
constitutional-public-defender,public_defender_participation_success_rate,share,public defender or legal-aid constitutional litigation programs,total constitutional matters with defender/legal-aid involvement,Use to calibrate litigant capacity and publicInterestSupport.
legislative-reenactment,reenactment_after_adverse_review_rate,share,United States; Canada; Germany; South Africa,total adverse constitutional decisions requiring legislative adjustment,"Code reenactment, narrowing, circumvention, and good-faith cure separately."
