gapRank,queuePriorityRank,acquisitionRank,promotionReadiness,claimBoundary,actionType,profileKey,court,targetFamily,coverageStatus,roadmapSourceFile,roadmapProfileKey,roadmapCourtOrSystem,period,roadmapTargetFamily,targetKey,neededObservedValue,neededDenominator,preferredSources,validationUseIfDocumented,notes,recommendedAcquisition
10,10,1,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,gallup-court-confidence-2024,U.S. Supreme Court,political-context,stress-only,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,legitimacy,public_trust,share expressing confidence,survey sample denominator,Gallup; Annenberg; Pew,false,Contextual only unless linked to simulated publicTrust not case outcomes.,use as supporting roadmap context after higher-priority candidate verification
15,15,1,contextual-source-documentation,"contextual source surface, not validation-family gap",source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,political-context,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,legitimacy,public_trust,share expressing confidence,survey sample denominator,Gallup; Annenberg; Pew,false,Contextual only unless linked to simulated publicTrust not case outcomes.,collect as contextual source unless a direct simulator analogue can be documented
16,16,1,contextual-source-documentation,"contextual source surface, not validation-family gap",source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,political-context,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,legitimacy,public_trust,share expressing confidence,survey sample denominator,Gallup; Annenberg; Pew,false,Contextual only unless linked to simulated publicTrust not case outcomes.,collect as contextual source unless a direct simulator analogue can be documented
20,20,1,source-acquisition-needed,no registered source candidate,source-acquisition,canada-charter-dialogue-1982-2007,Supreme Court of Canada,remedy-timing,missing,config/research/empirical-target-roadmap.csv,canada-scc,Supreme Court of Canada,2000-2025,dialogic_review,suspended_declaration_rate,suspended declarations,total Charter invalidity declarations,SCC judgments database; Charter invalidation datasets,true,Needed for suspendedDeclarationRate and legislativeResponseCredibility.,collect URL denominator coding rule and construction note for validation promotion review
21,21,1,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-2024,Supreme Court of Canada,legislative-response,missing,config/research/empirical-target-roadmap.csv,canada-scc,Supreme Court of Canada,2000-2025,legislative_response,response_after_declaration,statutory response events,total declarations needing response,Parliamentary records; provincial legislative records,false,Must distinguish acceptance response from override and nonresponse.,collect as contextual source unless a direct simulator analogue can be documented
22,22,1,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-2024,Supreme Court of Canada,remedy-timing,missing,config/research/empirical-target-roadmap.csv,canada-scc,Supreme Court of Canada,2000-2025,dialogic_review,suspended_declaration_rate,suspended declarations,total Charter invalidity declarations,SCC judgments database; Charter invalidation datasets,true,Needed for suspendedDeclarationRate and legislativeResponseCredibility.,collect URL denominator coding rule and construction note for validation promotion review
23,23,1,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-recent,Supreme Court of Canada,legislative-response,missing,config/research/empirical-target-roadmap.csv,canada-scc,Supreme Court of Canada,2000-2025,legislative_response,response_after_declaration,statutory response events,total declarations needing response,Parliamentary records; provincial legislative records,false,Must distinguish acceptance response from override and nonresponse.,collect as contextual source unless a direct simulator analogue can be documented
24,24,1,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-recent,Supreme Court of Canada,remedy-timing,missing,config/research/empirical-target-roadmap.csv,canada-scc,Supreme Court of Canada,2000-2025,dialogic_review,suspended_declaration_rate,suspended declarations,total Charter invalidity declarations,SCC judgments database; Charter invalidation datasets,true,Needed for suspendedDeclarationRate and legislativeResponseCredibility.,collect URL denominator coding rule and construction note for validation promotion review
25,25,1,source-acquisition-needed,no registered source candidate,source-acquisition,france-conseil-qpc,French Constitutional Council,case-selection,missing,config/research/empirical-target-roadmap.csv,france-conseil,French Constitutional Council,2010-2025,pre_enactment_review,pre_enactment_review_rate,pre-promulgation referrals,total constitutional matters,Conseil constitutionnel annual statistics,true,Separate ex ante review from QPC concrete review.,collect URL denominator coding rule and construction note for validation promotion review
25,25,2,source-acquisition-needed,no registered source candidate,source-acquisition,france-conseil-qpc,French Constitutional Council,case-selection,missing,config/research/empirical-target-roadmap.csv,france-conseil,French Constitutional Council,2010-2025,abstract_review,qpc_decision_outcome_rate,QPC unconstitutional findings,total QPC decisions,Conseil constitutionnel QPC statistics,true,Maps to abstract or concrete council review depending coding.,collect URL denominator coding rule and construction note for validation promotion review
