profileKey,court,timePeriod,targetKey,label,estimate,lower95,upper95,targetLower,targetUpper,targetObservedValue,targetN,unit,targetMethod,reliability,useForValidation,n,method,sourceName,sourceUrl
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,invalidation_legislative_response_rate,Legislative response after Charter invalidation,0.167,0.166,0.168,0.692,0.881,0.803,66,share,Wilson 95 percent interval from Hogg and Bushell Charter invalidation response coding,medium,true,1008000,conservative-bounded-normal-95,Hogg and Bushell Charter dialogue study condensed in Canada Watch,https://robarts.info.yorku.ca/files/2012/03/cw_8_1-3.pdf
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,override_rate,Formal override after Charter invalidation,0.046,0.045,0.046,0.003,0.081,0.015,66,share,Wilson 95 percent interval from Hogg and Bushell override coding,medium,true,1008000,conservative-bounded-normal-95,JUSTICE British Bill of Rights report quoting Hogg and Bushell,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1982-1997 Charter invalidations,invalidation_legislative_reenactment_rate,Effective overruling or reenactment after Charter invalidation,0.069,0.068,0.069,0.008,0.104,0.030,66,share,Wilson 95 percent interval from Hogg and Bushell effective-overruling coding,medium,true,1008000,conservative-bounded-normal-95,JUSTICE British Bill of Rights report quoting Hogg and Bushell,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,invalidation_legislative_response_rate,Legislative response after Charter invalidation update period,0.167,0.166,0.168,0.408,0.778,0.609,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,1008000,conservative-bounded-normal-95,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,override_rate,Formal override after Charter invalidation update period,0.046,0.045,0.046,0.000,0.143,0.000,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,1008000,conservative-bounded-normal-95,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf
canada-charter-dialogue-1982-2007,Supreme Court of Canada,1997-2007 Charter invalidations,invalidation_legislative_reenactment_rate,Reenactment after Charter invalidation update period,0.069,0.068,0.069,0.000,0.143,0.000,23,share,Wilson 95 percent interval from Hogg Bushell Thornton and Wright update coding,medium,true,1008000,conservative-bounded-normal-95,JUSTICE British Bill of Rights report quoting Hogg Bushell Thornton and Wright,https://files.justice.org.uk/wp-content/uploads/2015/07/06170839/A-British-Bill-of-Rights.pdf
canada-scc-2024,Supreme Court of Canada,2024,intake_acceptance_rate,Leave application grant rate,0.025,0.025,0.025,0.060,0.075,0.067,526,share,official annual leave applications and grants,high,true,39648744,conservative-bounded-normal-95,Supreme Court of Canada Year in Review 2024,https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf
canada-scc-recent,Supreme Court of Canada,recent annual average,intake_acceptance_rate,Leave application grant rate,0.025,0.025,0.025,0.070,0.084,0.077,5070,share,leave applications submitted and granted,high,true,39648744,conservative-bounded-normal-95,Supreme Court of Canada statistical summary 2015 to 2024,https://www.scc-csc.ca/about-apropos/work-travail/review-retro/stat-2024/
canada-scc-recent,Supreme Court of Canada,recent annual average,public_trust,Public trust proxy,0.230,0.229,0.231,0.430,0.550,0.490,0,share,public-trust survey proxy,medium,false,1008000,conservative-bounded-normal-95,Comparative calibration research synthesis,
canada-scc-recent,Supreme Court of Canada,recent annual average,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.490,0.610,0.550,9,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
cjeu-2024,Court of Justice of the European Union,2024,preliminary_reference_rate,Preliminary-reference docket share,0.000,0.000,0.000,0.613,0.633,0.623,920,share,official judicial activity route mix,high,true,1008000,conservative-bounded-normal-95,Court of Justice of the European Union judicial activity statistics 2024,https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024
cjeu-2024,Court of Justice of the European Union,2024,appeal_route_rate,Appeal route docket share,0.000,0.000,0.000,0.292,0.311,0.301,920,share,official judicial activity route mix,high,true,1008000,conservative-bounded-normal-95,Court of Justice of the European Union judicial activity statistics 2024,https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024
cjeu-2024,Court of Justice of the European Union,2024,direct_action_rate,Direct-action docket share,0.000,0.000,0.000,0.052,0.064,0.058,920,share,official judicial activity route mix,high,true,1008000,conservative-bounded-normal-95,Court of Justice of the European Union judicial activity statistics 2024,https://curia.europa.eu/site/jcms/p1_1000061369/en/statistics-concerning-the-judicial-activity-of-the-court-of-justice-2024
cjeu-2024,Court of Justice of the European Union,2019-2025 rule-of-law rulings,compliance_rate,Full compliance with rule-of-law rulings,0.664,0.663,0.665,0.534,0.632,0.584,382,share,EIN/DRI rule-of-law ruling compliance coding,medium,true,1008000,conservative-bounded-normal-95,EIN and Democracy Reporting International Justice Delayed and Justice Denied 2025,https://www.einnetwork.org/justice-delayed-justice-denied
echr-2024,European Court of Human Rights,2024,intake_acceptance_rate,Probable Chamber or Committee case share,0.025,0.025,0.025,0.305,0.326,0.316,28800,share,official allocated-application formation split,medium,true,39648744,conservative-bounded-normal-95,ECHR Analysis of Statistics 2024,https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng
echr-2024,European Court of Human Rights,2024,emergency_relief_rate,Rule 39 interim-measure grant rate,0.448,0.445,0.451,0.218,0.238,0.228,1630,share,official Rule 39 decision count,high,true,108627,conservative-bounded-normal-95,ECHR Analysis of Statistics 2024,https://www.echr.coe.int/documents/d/echr/stats-analysis-2024-eng
france-conseil-qpc,French Constitutional Council,2010-2024 QPC,merits_invalidation_rate,QPC nonconformity rate,0.190,0.189,0.191,0.305,0.324,0.315,1011,share,official QPC solution table,high,true,939478,conservative-bounded-normal-95,Conseil constitutionnel QPC360 statistical overview,https://qpc360.conseil-constitutionnel.fr/bilan-statistique
france-conseil-qpc,French Constitutional Council,2010-2024 QPC,suspended_declaration_rate,QPC deferred-effect share over all solutions,0.012,0.011,0.012,0.126,0.141,0.134,1011,share,official QPC solution table,high,true,1008000,conservative-bounded-normal-95,Conseil constitutionnel QPC360 statistical overview,https://qpc360.conseil-constitutionnel.fr/bilan-statistique
france-conseil-qpc,French Constitutional Council,QPC recent period,public_trust,Public trust proxy,0.230,0.229,0.231,0.430,0.570,0.500,0,share,public-trust survey proxy,low,false,1008000,conservative-bounded-normal-95,Comparative calibration research synthesis,
france-conseil-qpc,French Constitutional Council,QPC recent period,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.280,0.400,0.340,9,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
france-conseil-qpc,French Constitutional Council,QPC recent period,upstream_screening_cost,Normalized upstream screening cost,0.608,0.607,0.609,0.520,0.660,0.590,0,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
germany-bverfg-2024,German Federal Constitutional Court,2024,intake_acceptance_rate,Constitutional complaint success and admission proxy,0.025,0.025,0.025,0.006,0.012,0.009,4595,share,successful constitutional complaints divided by decided complaint proceedings,high,true,39648744,conservative-bounded-normal-95,Federal Constitutional Court 2024 annual report,https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Jahresbericht/jahresbericht_2024.pdf?__blob=publicationFile&v=4
germany-bverfg-2024,German Federal Constitutional Court,2024,public_trust,Public trust proxy,0.230,0.229,0.231,0.680,0.800,0.740,0,share,public-trust survey proxy,medium,false,1008000,conservative-bounded-normal-95,Comparative calibration research synthesis,
germany-bverfg-2024,German Federal Constitutional Court,2024,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.560,0.680,0.620,16,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
germany-bverfg-2024,German Federal Constitutional Court,2024,capacity_strain_cost,Normalized capacity strain,0.397,0.396,0.398,0.500,0.640,0.560,0,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
cost-us-supreme-court,U.S. Supreme Court,FY2025,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.690,0.790,0.740,9,normalized,budget and staffing benchmark,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,https://www.supremecourt.gov/
cost-us-supreme-court,U.S. Supreme Court,FY2025,capacity_strain_cost,Normalized capacity strain,0.397,0.396,0.398,0.420,0.540,0.480,0,normalized,budget and filings benchmark,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,https://www.supremecourt.gov/
cost-uk-supreme-court,UK Supreme Court,recent annual,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.370,0.490,0.430,12,normalized,budget and staffing benchmark,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,https://www.supremecourt.uk/
cost-france-conseil,French Constitutional Council,recent annual,direct_court_cost,Normalized direct court cost,0.360,0.359,0.361,0.280,0.400,0.340,9,normalized,budget and decision benchmark,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,https://www.conseil-constitutionnel.fr/
south-africa-constcourt-recent,Constitutional Court of South Africa,recent annual average,merits_invalidation_rate,Merits invalidation proxy,0.190,0.189,0.191,0.470,0.590,0.532,0,share,merits outcome synthesis,medium,false,939478,conservative-bounded-normal-95,Constitutional Court statistics synthesis,https://www.concourt.org.za/
south-africa-constcourt-recent,Constitutional Court of South Africa,recent annual average,intake_acceptance_rate,Petition-to-judgment throughput proxy,0.025,0.025,0.025,0.109,0.181,0.141,355,share,2023 petitions and approximate annual judgment output,medium,true,39648744,conservative-bounded-normal-95,Ally et al. Constitutional Court docket snapshot 2024,https://scielo.org.za/scielo.php?pid=S1727-37812024000100077&script=sci_arttext
south-africa-constcourt-recent,Constitutional Court of South Africa,recent annual average,public_trust,Public trust proxy,0.230,0.229,0.231,0.360,0.500,0.430,0,share,public-trust survey proxy,medium,false,1008000,conservative-bounded-normal-95,Comparative calibration research synthesis,
south-africa-constcourt-recent,Constitutional Court of South Africa,recent annual average,capacity_strain_cost,Normalized capacity strain,0.397,0.396,0.398,0.610,0.750,0.680,0,normalized,benchmark cost profile,medium,false,1008000,conservative-bounded-normal-95,Institutional cost benchmark synthesis,
uk-human-rights-doi-2025,United Kingdom domestic courts,July 2000-July 2025,legislative_response_rate,Strict response after declarations of incompatibility,0.041,0.040,0.041,0.430,0.460,0.444,63,share,official declaration status table,medium,true,1008000,conservative-bounded-normal-95,Ministry of Justice Responding to human rights judgments 2024-2025,https://assets.publishing.service.gov.uk/media/6945786872075a1d4a50898f/Responding_to_human_rights_judgments_2024-2025__web_.pdf
uk-human-rights-doi-2025,United Kingdom domestic courts,July 2000-July 2025,legislative_response_credibility,Statutory amendment or repeal after declarations of incompatibility,0.567,0.566,0.568,0.410,0.450,0.429,63,share,official declaration status table,medium,true,1008000,conservative-bounded-normal-95,Ministry of Justice Responding to human rights judgments 2024-2025,https://assets.publishing.service.gov.uk/media/6945786872075a1d4a50898f/Responding_to_human_rights_judgments_2024-2025__web_.pdf
uk-supreme-court-2024-2025,UK Supreme Court,2024-2025,intake_acceptance_rate,Permission-to-appeal grant rate,0.025,0.025,0.025,0.345,0.375,0.361,170,share,official annual PTA decisions and grants,high,true,39648744,conservative-bounded-normal-95,UK Supreme Court Annual Report and Accounts 2024-2025,https://www.supremecourt.uk/uploads/The_Supreme_Court_Annual_Report_2024_25_0ad2802fb7.pdf
uk-supreme-court-2024-2025,UK Supreme Court,2024-2025,case_selection_access,Permission-to-appeal case-selection access proxy,0.394,0.393,0.395,0.345,0.375,0.361,170,share,official annual PTA grant share used as access proxy,high,true,1008000,conservative-bounded-normal-95,UK Supreme Court Annual Report and Accounts 2024-2025,https://www.supremecourt.uk/uploads/The_Supreme_Court_Annual_Report_2024_25_0ad2802fb7.pdf
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.speech,Speech docket share,0.338,0.337,0.339,0.060,0.091,0.076,9341,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.equality,Civil-rights and privacy docket share,0.144,0.143,0.145,0.135,0.169,0.152,9341,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.criminal_procedure,Criminal procedure docket share,0.049,0.049,0.050,0.207,0.244,0.225,9341,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.federalism,Federalism docket share,0.071,0.071,0.072,0.041,0.071,0.056,9341,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.election_law,Election-law docket share,0.120,0.119,0.121,0.013,0.040,0.026,9341,share,SCDB issue-code proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.emergency_powers,Emergency-powers merits share,0.069,0.069,0.070,0.000,0.012,0.001,9341,share,SCDB issue-code proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
scdb-postwar-merits-1946-2024,U.S. Supreme Court,1946-2024 terms,doctrine_mix.administrative_state,Administrative and economic regulation share,0.083,0.083,0.084,0.199,0.236,0.217,9341,share,SCDB issue-area plus agency-review proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
