system,appointmentMethod,actors,courtSize,termOrRetirement,removalStandard,recusalRules,docketControl,reviewMode,timingOfReview,emergencyInterim,decisionUnit,votingThreshold,separateOpinions,legislativeOverride,amendmentInteraction,complianceEnforcement,publicTransparency,scenarioKind,primaryReviewMechanism,empiricalStatus,simulatorScenario,mappingNotes
United States,PRESIDENTIAL_SENATE,president and senate,9,life tenure,impeachment only,self policing,DISCRETIONARY_CERTIORARI,concrete appellate,POST_ENACTMENT,shadow docket and stays,full court,SIMPLE_MAJORITY,yes,NONE,Article V amendment,judicial judgments and executive compliance,medium,REAL_WORLD_PRESET,STRONG_FORM_COURT,real-world institutional preset; not fitted to observed outcomes,us-supreme-court-benchmark,Maps to discretionary top-court review with high independence and low formal override.
Germany,SUPERMAJORITY_COMMISSION,bundestag and bundesrat,16,12-year nonrenewable equivalent,disciplinary removal,strict disclosure,COMPLAINT_ADMISSIBILITY,constitutional complaint and abstract review,POST_ENACTMENT,reasoned interim orders,panel or senate,SUPERMAJORITY_TO_INVALIDATE,yes,NONE,constitutional amendment with entrenched limits,binding constitutional judgments,high,REAL_WORLD_PRESET,STRONG_FORM_COURT,real-world institutional preset; not fitted to observed outcomes,german-constitutional-court,Maps to high complaint intake with strong screening and strong rights review.
France,PRESIDENTIAL_SENATE,political appointments and former presidents,9,9-year staggered terms,misconduct style,transparency rules,REFERRAL_GATED,constitutional council and QPC,MIXED_TIMING,interim procedure limited,council,HIGH_CONSTITUTIONAL_THRESHOLD,limited,NONE,constitutional amendment or new statute after review,publication and political compliance,high,REAL_WORLD_PRESET,PRE_ENACTMENT_REVIEW,real-world institutional preset; not fitted to observed outcomes,french-constitutional-council,Maps to mixed pre-enactment and referral-gated review with externalized filtering.
Canada,SUPERMAJORITY_COMMISSION,executive appointment with advisory conventions,9,mandatory retirement age,impeachment or judicial council,mandatory conflict,LEAVE_TO_APPEAL,discretionary appellate constitutional review,POST_ENACTMENT,stays and interim relief,full court,SIMPLE_MAJORITY,yes,DELAYED_MAJORITY_OVERRIDE,Charter section 33 and amendment,binding judgments with legislative response,high,REAL_WORLD_PRESET,LEGISLATIVE_OVERRIDE_CLAUSE,real-world institutional preset; not fitted to observed outcomes,canadian-supreme-court,Maps to leave-based review with override context for selected rights.
South Africa,SUPERMAJORITY_COMMISSION,judicial service commission and president,11,nonrenewable long term,misconduct commission,mandatory conflict,LEAVE_TO_APPEAL,mixed constitutional court jurisdiction,POST_ENACTMENT,urgent applications,full court,SIMPLE_MAJORITY,yes,NONE,constitutional amendment and confirmation jurisdiction,binding orders with implementation supervision,high,REAL_WORLD_PRESET,ABSTRACT_REVIEW,real-world institutional preset; not fitted to observed outcomes,south-african-constitutional-court,Maps to rights-forward mixed review with visible capacity constraints.
United Kingdom,MERIT_SORTITION,independent commission and executive formalities,12,retirement age,parliamentary removal,mandatory conflict,LEAVE_TO_APPEAL,declaration-oriented appellate review,POST_ENACTMENT,interim relief through courts,panels,SIMPLE_MAJORITY,yes,DELAYED_MAJORITY_OVERRIDE,parliamentary sovereignty and legislative response,declarations and ordinary judgments,high,REAL_WORLD_PRESET,WEAK_FORM_REVIEW,real-world institutional preset; not fitted to observed outcomes,uk-supreme-court,Maps to declaration-only parliamentary model where final legislative authority remains central.
India,MERIT_SORTITION,collegium-style judicial appointment,34,retirement age,impeachment only,mandatory conflict,MANDATORY_WITH_FILTERS,high-volume hybrid constitutional and appellate review,POST_ENACTMENT,urgent and interim applications,panels and constitution benches,SIMPLE_MAJORITY,yes,NONE,constitutional amendment and basic-structure doctrine,binding judgments with implementation variation,medium,REAL_WORLD_PRESET,ABSTRACT_REVIEW,real-world institutional preset; not fitted to observed outcomes,india-supreme-court,Maps to very high-volume mixed docket and capacity strain.
Brazil,PRESIDENTIAL_SENATE,president and senate,11,retirement age,impeachment or discipline,mandatory conflict,MANDATORY_WITH_FILTERS,abstract and concrete review,MIXED_TIMING,injunctions and interim measures,full court and panels,SIMPLE_MAJORITY,yes,NONE,constitutional amendment and legislative response,binding and erga omnes effects in some actions,medium,REAL_WORLD_PRESET,ABSTRACT_REVIEW,real-world institutional preset; not fitted to observed outcomes,brazil-stf,Maps to mixed abstract and concrete review with high emergency and docket burden.
ECHR,SUPERMAJORITY_COMMISSION,parliamentary assembly election from state nominees,46,nonrenewable term,disciplinary removal,strict disclosure,COMPLAINT_ADMISSIBILITY,treaty individual applications,POST_ENACTMENT,interim measures,chambers and grand chamber,SIMPLE_MAJORITY,yes,NONE,treaty amendment and committee supervision,Committee of Ministers supervision,high,REAL_WORLD_PRESET,SUPRANATIONAL_REVIEW,real-world institutional preset; not fitted to observed outcomes,echr-treaty-court,Maps to supranational treaty review with admissibility screening and compliance supervision.
CJEU,SUPERMAJORITY_COMMISSION,member-state agreement,27,renewable term,disciplinary removal,strict disclosure,REFERRAL_GATED,EU treaty and preliminary-reference review,MIXED_TIMING,interim measures,chambers and grand chamber,SIMPLE_MAJORITY,limited,NONE,treaty amendment and EU legislation,national courts and EU enforcement,high,REAL_WORLD_PRESET,SUPRANATIONAL_REVIEW,real-world institutional preset; not fitted to observed outcomes,cjeu-court-of-justice,Maps to supranational treaty court with referral gating and national implementation.
