caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,segmentType,segmentKey,totalCases,reviewedCases,intakeFilings,screenedFilings,reviewRate,intakeAcceptanceRate,legalStability,rightsProtection,shadowDocketAbuse,emergencyReliefRate,meritsInvalidationRate,emergencyReasonGivingRate,emergencyVoteDisclosureRate,emergencyPublicDisagreementRate,governmentEmergencyWinRate,meritsFollowUpRate,lowerCourtConflict,averageTimeToReview,averageLowerCourtDepth,stateFederalTension,intercourtConflict,legitimacy,constitutionalConflict,democraticResponsiveness,legislativeResponseCredibility,caseSelectionAccess,governmentRepeatPlayerAdvantage,implementationCapacity,democraticConstitutionalism,vetoRelocationRisk,legalTransplantFeasibility,politicalCultureSensitivity,complianceRate,defianceRate,workaroundRate,repeatedLitigationRate,executiveImplementationRate,agencyNonacquiescenceRate,legislativeReenactmentRate,localGovernmentComplianceRate,publicTrust,legislativeConflict,courtCurbingPressure,amendmentPressure,directCourtCost,upstreamScreeningCost,capacityStrainCost,institutionalBudgetCost,institutionalDelayCost,implementationComplexity,totalInstitutionalCost
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,1,2400,2400,100724,98324,1.000,0.024,0.788,0.687,0.367,0.641,0.499,0.023,0.379,0.582,0.624,0.000,0.697,0.602,2.434,0.556,0.492,0.594,0.344,0.404,0.552,0.432,0.360,0.612,0.588,0.529,0.644,0.728,0.592,0.159,0.093,0.198,0.597,0.092,0.035,0.423,0.109,0.688,0.446,0.265,0.303,0.688,0.409,0.376,0.435,0.431,0.447
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,2,2400,2400,100861,98461,1.000,0.024,0.790,0.687,0.373,0.662,0.463,0.033,0.356,0.558,0.642,0.000,0.700,0.604,2.425,0.553,0.493,0.577,0.344,0.407,0.551,0.431,0.354,0.611,0.568,0.529,0.644,0.728,0.380,0.298,0.153,0.305,0.395,0.198,0.070,0.217,0.000,0.982,0.980,0.772,0.308,0.689,0.422,0.380,0.436,0.433,0.451
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,3,2400,2400,100944,98544,1.000,0.024,0.791,0.687,0.367,0.682,0.466,0.027,0.362,0.571,0.652,0.000,0.698,0.601,2.423,0.556,0.496,0.578,0.342,0.405,0.550,0.432,0.354,0.612,0.565,0.528,0.644,0.728,0.332,0.304,0.193,0.338,0.350,0.194,0.093,0.163,0.000,0.994,1.000,0.992,0.308,0.689,0.421,0.380,0.436,0.433,0.451
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,4,2400,2400,101064,98664,1.000,0.024,0.794,0.686,0.358,0.663,0.466,0.026,0.372,0.560,0.647,0.000,0.704,0.604,2.428,0.556,0.496,0.579,0.340,0.408,0.551,0.431,0.360,0.612,0.565,0.529,0.644,0.728,0.335,0.317,0.180,0.324,0.332,0.213,0.078,0.158,0.000,0.995,1.000,0.998,0.307,0.689,0.421,0.380,0.437,0.433,0.451
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,1,2400,2400,100929,98529,1.000,0.024,0.800,0.695,0.354,0.610,0.444,0.029,0.392,0.558,0.584,0.000,0.697,0.602,2.434,0.556,0.492,0.606,0.335,0.415,0.551,0.432,0.360,0.613,0.596,0.520,0.645,0.727,0.583,0.160,0.094,0.209,0.595,0.093,0.034,0.434,0.113,0.660,0.407,0.261,0.303,0.688,0.408,0.376,0.435,0.431,0.447
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,2,2400,2400,100889,98489,1.000,0.024,0.800,0.694,0.367,0.621,0.426,0.030,0.355,0.533,0.586,0.000,0.700,0.604,2.425,0.553,0.493,0.587,0.338,0.417,0.551,0.431,0.354,0.611,0.575,0.520,0.645,0.728,0.393,0.288,0.152,0.294,0.393,0.189,0.076,0.220,0.000,0.972,0.965,0.756,0.314,0.689,0.441,0.386,0.438,0.436,0.457
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,3,2400,2400,100953,98553,1.000,0.024,0.800,0.696,0.358,0.622,0.434,0.032,0.373,0.536,0.598,0.000,0.698,0.601,2.423,0.556,0.496,0.588,0.335,0.417,0.551,0.432,0.354,0.611,0.571,0.519,0.645,0.727,0.325,0.325,0.173,0.348,0.345,0.197,0.085,0.175,0.000,0.994,1.000,0.991,0.314,0.689,0.441,0.386,0.438,0.436,0.457
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,4,2400,2400,100948,98548,1.000,0.024,0.803,0.694,0.358,0.607,0.423,0.036,0.373,0.526,0.590,0.000,0.704,0.604,2.428,0.556,0.496,0.588,0.335,0.417,0.550,0.431,0.360,0.611,0.571,0.520,0.645,0.728,0.339,0.317,0.183,0.328,0.332,0.203,0.095,0.156,0.000,0.995,1.000,0.998,0.314,0.689,0.441,0.386,0.439,0.437,0.458
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,1,2400,2400,104000,101600,1.000,0.023,0.887,0.739,0.062,0.400,0.407,0.699,0.592,0.265,0.365,0.277,0.697,0.602,2.434,0.556,0.492,0.729,0.248,0.459,0.577,0.432,0.360,0.619,0.659,0.436,0.645,0.716,0.702,0.086,0.079,0.130,0.712,0.057,0.029,0.520,0.220,0.460,0.243,0.118,0.354,0.690,0.390,0.428,0.441,0.448,0.460
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,2,2400,2400,104194,101794,1.000,0.023,0.886,0.738,0.064,0.441,0.409,0.673,0.609,0.256,0.390,0.277,0.700,0.604,2.425,0.553,0.493,0.700,0.248,0.464,0.578,0.431,0.354,0.616,0.645,0.437,0.645,0.717,0.574,0.145,0.134,0.193,0.598,0.105,0.063,0.423,0.003,0.620,0.638,0.289,0.367,0.691,0.431,0.441,0.445,0.454,0.473
